trackId,bundleId,trackName,primaryGenre,sellerName,country
1564419343,com.dreame.smarthome,Dreamehome,Utilities,"Dreame Innovation Technology (Suzhou) Co., Ltd.",us
1329458504,com.eco.global.app,ECOVACS HOME,Lifestyle,Ecovacs Robotics Inc.,us
1445966312,com.mideaclean.rc,eureka robot,Lifestyle,"Robozone Technology Co.,Ltd.",us
1271409097,com.sharkninja.shark,SharkClean,Lifestyle,SHARKNINJA OPERATING LLC,us
6443747952,com.hanyang.yarbo,Yarbo,Utilities,Yarbo Inc.,us
1372538627,com.maytronics.Maytronics,MyDolphin Plus,Utilities,Maytronics ltd.,us
1587770267,com.matician.maticianapp,Matic Robots,Lifestyle,"Matician, Inc.",us
1563873038,com.smartwidgetlabs.robot,iVacuum Cleaner Robot Control,Utilities,SMART WIDGET LABS COMPANY LIMITED,us
1509407909,com.yeedi.app,YEEDI,Lifestyle,YEEDI TECHNOLOGY LIMITED,us
1440552301,com.whalesbot.games,WhalesBot,Education,"WhalesBot Technology (Shanghai) Co., Ltd.",us
6453023647,com.keenon.mobile,Keenon Robotics,Utilities,Keenon,us
1592619725,com.mzzh.obode,obode Life,Lifestyle,"Robozone Technology Co.,Ltd.",us
1636748263,com.narwal.pita-global,Narwal Freo,Lifestyle,Yunjing Intelligence Innovation Shenzhen Co. Ltd.,us
1579835325,com.gaussian.gsbot,Gausium Mobile,Utilities,"Shanghai Gaussian Automation Technology Development Co., Ltd.",us
6736671126,com.braincorp.tennantmobile,Tennant Robotics,Business,Brain Corp,us
6505017500,com.nilfiskrobotics.app,Nilfisk Robotics,Lifestyle,LIONSBOT INTERNATIONAL PTE. LTD.,us
1548416485,com.lge.companion.cloudStation,CLOi Station,Business,Bearrobotics Inc,us
1547425264,com.kingyears.whitehorse,robotic-mower connect,Lifestyle,"SHANGHAI SUNSEEKER ROBOTIC TECHNOLOGY CO., LTD.",us
6741397418,com.tarracor.tarrabotPro,TarraBot Pro,Utilities,Tarracor Robotics Limited,us
1508972930,com.keyitech.Brain,ClicBot,Entertainment,"Beijing KEYi Technology Co., Ltd.",us
1290088340,UBTECH-Education.Alpha1XApp,Yanshee,Education,UBTECH ROBOTICS CORP,us
6747660771,com.wxbionics.Humanpanion,Humanpanion,Utilities,"Mind with Heart Robotics Co., Ltd.",us
6740550607,com.qunyu.dobi.AIBotGo,AIBOTGO,Utilities,"Guangdong Qunyu Interactive Technology Co.,Ltd.",us
6748243845,com.anki.cozmo2,Cozmo Robot,Entertainment,Digital Dream Labs LLC,us
1630318116,com.wyindustry.winnygo,WYBOT,Lifestyle,"WYBOTICS CO.,LTD",us
6474955418,com.aiper.link,Aiper,Lifestyle,AIPER GLOBAL PTE. LTD.,us
1462598241,com.lobot.LobotBit,Wonderbit,Education,"Shenzhen Hiwonder Technology Co.,Ltd",us
861891386,com.hippotec.maytronics,MyDolphin,Utilities,Maytronics ltd.,us
1644300826,com.hxh.vacuum,Robot iVacuum: Home Cleaning,Utilities,Hoa Huynh,us
1603182509,com.teendow.smart,Teendow,Utilities,"Weizhisheng TECHNOLOGY (Shenzhen) Co., Ltd.",us
1604147294,com.yunshi.OKP,OKP,Lifestyle,"Shenzhen USEER Robotics Co., Ltd",us
1510062356,com.ilife.global.aliyun,ILIFEHOME,Utilities,SHENZHEN ZHIYI TECHNOLOGY CO.LTD,us
1480187168,com.samsung.powerbot.e,POWERbot-E,Utilities,"Samsung Electronics Co., Ltd.",us
6449586664,com.kingyears.mowerRobot,Robotic Mower,Utilities,"SHANGHAI SUNSEEKER ROBOTIC TECHNOLOGY CO., LTD.",us
6504791824,com.extravishome.smart,EXTRAVIS,Utilities,"Linksmart Technology(Zhongshan) Co., Ltd.",us
6478852670,com.tulu.tuvacs,Tuvacs,Utilities,"Shenzhen Tunnu Innovation Co., Ltd.",us
6447345112,com.ropvacnic.smart,ROPVACNIC,Utilities,"Foshan Hongxiaoqiang Commerce and Trade Co., Ltd.",us
6446878618,com.haibaina.neatsvor,Neatsvor Home,Utilities,"Hangzhou Jumei Electronic Commerce Co., Ltd.",us
1622793082,com.uwant.smart,UWANT HOME,Utilities,"Suzhou Jiuxuanyouwei Software Technology Co.,Ltd",us
1587709669,es.cecotec.s8090,Conga 8090,Utilities,CECOTEC INNOVACIONES SL,us
1479399330,com.mellerwere.city,Mellerware,Utilities,"Engineering and Technology for Life, SL",us
6447751355,com.yscoco.obsweeper.apps,Intelligent Robot Vacuums,Utilities,灿杰 郑,us
6451108638,com.xingmai.tech,Beatbot,Utilities,"Xingmai Innovation Technology (Suzhou) Co., Ltd.",us
1469506857,es.cecotec.s5090v1,Conga 5090,Utilities,CECOTEC INNOVACIONES SL,us
1614185542,com.airrobo.iot,AIRROBO,Utilities,UBTECH ROBOTICS CORP,us
1518225916,com.consequentialrobotics.miro,MIRO,Education,Consequential Robotics Ltd,us
6736896363,com.agibot.aimmaster,AimMaster,Utilities,"Shanghai Zhiyuan Xinchuang Technology Co., Ltd.",us
1471622385,com.lcfld.fldpublic,WiFi UAV,Entertainment,文 张,us
1455273103,com.spexigeo.ios,Spexi,Utilities,Spexi Geospatial Inc.,us
1482995657,com.ipotensic.potensicpro,PotensicPro,Photo & Video,"Shenzhen Potensic Intelligent Co., Ltd.",us
1173323776,com.dronaaviation.controller,Pluto Controller,Education,Drona Aviation Private Limited,us
1512942657,com.holyStone.hsfly,HS FLY,Entertainment,"HOLY STONE TECHNOLOGY  Co.,Ltd.",us
